date,campus,level,record_type,address,zip,status,violation_count,violations
2026-04-28,BROWNING ELEMENTARY,Elementary,inspection,607 NORTHWOOD HOUSTON TX,77009,OPEN,3,6 Houston Ordinance Violation: 3-202.15 (Violation Corrected On Site) | 33 Houston Ordinance Violation: 6-501.112 (Violation) | 43 Houston Ordinance Violation: 4-201.11 (Violation)
2026-04-28,BROWNING ELEMENTARY,Elementary,grease_trap,607 NORTHWOOD HOUSTON TX,77009,OPEN,0,
2026-04-27,STEVENSON MIDDLE SCHOOL,Middle / Jr. High,grease_trap,9595 WINKLER HOUSTON TX,77017,OPEN,0,
2026-04-27,STEVENSON MIDDLE SCHOOL,Middle / Jr. High,inspection,9595 WINKLER HOUSTON TX,77017,OPEN,2,33 Houston Ordinance Violation: 6-202.15(A) (Violation) | 52 Houston Ordinance Violation: 6-501.11 (Violation)
2026-04-27,STEVENSON MIDDLE SCHOOL,Middle / Jr. High,inspection,9595 WINKLER HOUSTON TX,77017,OPEN,1,1 Houston Ordinance Violation: 6-202.15(A) (Violation)
2026-04-27,SHARPSTOWN HIGH SCHOOL,High School,grease_trap,7504 BISSONNET HOUSTON TX,77074,OPEN,0,
2026-04-27,SHARPSTOWN HIGH SCHOOL,High School,inspection,7504 BISSONNET HOUSTON TX,77074,OPEN,0,
2026-04-27,SHARPSTOWN HIGH SCHOOL,High School,inspection,7504 BISSONNET HOUSTON TX,77074,OPEN,0,
2026-04-27,RED ELEMENTARY,Elementary,grease_trap,4520 TONAWANDA HOUSTON TX,77035,OPEN,0,
2026-04-27,RED ELEMENTARY,Elementary,inspection,4520 TONAWANDA HOUSTON TX,77035,OPEN,0,
2026-04-27,LOVETT ELEMENTARY,Elementary,grease_trap,8814 S RICE BLVD HOUSTON TX,77096,OPEN,0,
2026-04-27,LOVETT ELEMENTARY,Elementary,inspection,8814 S RICE BLVD HOUSTON TX,77096,OPEN,1,1 Houston Ordinance Violation: 2-501.11 (Violation)
2026-04-27,LOOSCAN ELEMENTARY,Elementary,inspection,3800 ROBERTSON HOUSTON TX,77009,OPEN,3,33 Houston Ordinance Violation: 6-501.112 (Violation Corrected On Site) | 34 Houston Ordinance Violation: 6-501.111(B) (Violation) | 52 Houston Ordinance Violation: 5-501.113 (Violation)
2026-04-27,LOOSCAN ELEMENTARY,Elementary,grease_trap,3800 ROBERTSON HOUSTON TX,77009,OPEN,0,
2026-04-27,KASHMERE GARDENS ELEMENTARY,Elementary,grease_trap,4901 LOCKWOOD HOUSTON TX,77026,OPEN,0,
2026-04-27,KASHMERE GARDENS ELEMENTARY,Elementary,inspection,4901 LOCKWOOD HOUSTON TX,77026,OPEN,1,1 Houston Ordinance Violation: 6-501.11 (Violation Repeat)
2026-04-27,JEFFERSON ELEMENTARY,Elementary,inspection,5000 SHARMAN HOUSTON TX,77009,OPEN,0,
2026-04-27,JEFFERSON ELEMENTARY,Elementary,grease_trap,5000 SHARMAN HOUSTON TX,77009,OPEN,0,
2026-04-27,HELMS ELEMENTARY,Elementary,grease_trap,503 W 21ST ST HOUSTON TX,77008,OPEN,0,
2026-04-27,HELMS ELEMENTARY,Elementary,inspection,503 W 21ST ST HOUSTON TX,77008,OPEN,0,
2026-04-27,HELMS ELEMENTARY,Elementary,inspection,503 W 21ST ST HOUSTON TX,77008,OPEN,0,
2026-04-27,HEIGHTS HS,High School,inspection,413 E 13TH ST HOUSTON TX,77008,OPEN,0,
2026-04-27,GALLEGOS ELEMENTARY SCHOOL,Elementary,inspection,7415 HARRISBURG HOUSTON TX,77011,OPEN,0,
2026-04-27,GALLEGOS ELEMENTARY SCHOOL,Elementary,grease_trap,7415 HARRISBURG HOUSTON TX,77011,OPEN,0,
2026-04-27,FRANKLIN ELEMENTARY,Elementary,grease_trap,7101 CANAL HOUSTON TX,77011,OPEN,0,
2026-04-27,FRANKLIN ELEMENTARY,Elementary,inspection,7101 CANAL HOUSTON TX,77011,OPEN,2,1 Houston Ordinance Violation: 6-202.15(A) (Violation) | 2 Houston Ordinance Violation: 6-201.17(A) (Violation)
2026-04-27,FRANKLIN ELEMENTARY,Elementary,inspection,7101 CANAL HOUSTON TX,77011,OPEN,1,1 Houston Ordinance Violation: 7-102.11 (Violation Corrected On Site)
2026-04-27,B.C. ELMORE ELEMENTARY,Elementary,grease_trap,8200 TATE HOUSTON TX,77028,OPEN,0,
2026-04-27,B.C. ELMORE ELEMENTARY,Elementary,inspection,8200 TATE HOUSTON TX,77028,OPEN,2,1 Houston Ordinance Violation: 5-501.112(B) (Violation) | 2 Houston Ordinance Violation: 6-501.11 (Violation)
2026-04-27,ANDERSON ELEMENTARY SCHOOL,Elementary,grease_trap,5727 LUDINGTON HOUSTON TX,77035,OPEN,0,
2026-04-27,ANDERSON ELEMENTARY SCHOOL,Elementary,inspection,5727 LUDINGTON HOUSTON TX,77035,OPEN,0,
2026-04-24,YES PREP ELEMENTARY-WEST CAMPUS,Elementary,inspection,9910 1/2 SHARPCREST HOUSTON TX,77036,OPEN,0,
2026-04-24,YES PREP ELEMENTARY-WEST CAMPUS,Elementary,inspection,9910 1/2 SHARPCREST HOUSTON TX,77036,OPEN,0,
2026-04-23,ST AUGUSTINE SCHOOL,Middle / Jr. High,inspection,5500 LAUREL CREEK HOUSTON TX,77017,OPEN,2,31 Houston Ordinance Violation: 6-202.15(A) (Violation Repeat) | 50 Houston Ordinance Violation: 6-501.11 (Violation Repeat)
2026-04-23,ST AUGUSTINE SCHOOL,Middle / Jr. High,inspection,5500 LAUREL CREEK HOUSTON TX,77017,OPEN,2,1 Houston Ordinance Violation: 6-202.15(A) (Violation) | 2 Houston Ordinance Violation: 6-501.11 (Violation)
2026-04-23,ST AUGUSTINE SCHOOL,Middle / Jr. High,grease_trap,5500 LAUREL CREEK HOUSTON TX,77017,OPEN,0,
2026-04-23,QUEENS INTERMEDIATE,Middle / Jr. High,inspection,1452 QUEENS RD HOUSTON TX,77017,OPEN,1,42 Houston Ordinance Violation: 4-402.11(A)(3) (Violation Repeat)
2026-04-23,QUEENS INTERMEDIATE,Middle / Jr. High,inspection,1452 QUEENS RD HOUSTON TX,77017,OPEN,0,
2026-04-23,QUEENS INTERMEDIATE,Middle / Jr. High,grease_trap,1452 QUEENS RD HOUSTON TX,77017,OPEN,0,
2026-04-23,LAURA BUSH ELEMENTARY,Elementary,inspection,9100 BLACKHAWK BLVD HOUSTON TX,77075,OPEN,0,
2026-04-23,LAURA BUSH ELEMENTARY,Elementary,inspection,9100 BLACKHAWK BLVD HOUSTON TX,77075,OPEN,0,
2026-04-23,LAURA BUSH ELEMENTARY,Elementary,grease_trap,9100 BLACKHAWK BLVD HOUSTON TX,77075,OPEN,0,
2026-04-23,JESSUP ELEMENTARY SCHOOL,Elementary,inspection,9301 ALMEDA GENOA HOUSTON TX,77075,OPEN,2,1 Houston Ordinance Violation: 4-501.11(A) (Violation) | 2 Houston Ordinance Violation: 6-501.11 (Violation Repeat)
2026-04-23,JESSUP ELEMENTARY SCHOOL,Elementary,inspection,9301 ALMEDA GENOA HOUSTON TX,77075,OPEN,1,1 Houston Ordinance Violation: 6-501.11 (Violation)
2026-04-23,JESSUP ELEMENTARY SCHOOL,Elementary,grease_trap,9301 ALMEDA GENOA HOUSTON TX,77075,OPEN,0,
2026-04-23,JAMES E. STUCHBERY ELEMENTARY,Elementary,inspection,11210 HUGHES HOUSTON TX,77089,OPEN,5,1 Houston Ordinance Violation: 6-501.111(B) (Violation) | 2 Houston Ordinance Violation: 4-501.11(A) (Violation) | 3 Houston Ordinance Violation: 6-501.11 (Violation) | 4 Houston Ordinance Violation: 6-501.12(A) (Violation) | 5 Houston Ordinance Violation: 6-201.13(A) (Violation)
2026-04-23,JAMES E. STUCHBERY ELEMENTARY,Elementary,inspection,11210 HUGHES HOUSTON TX,77089,OPEN,0,
2026-04-23,JAMES E. STUCHBERY ELEMENTARY,Elementary,grease_trap,11210 HUGHES HOUSTON TX,77089,OPEN,0,
2026-04-23,FRAZIER ELEMENTARY SCHOOL,Elementary,inspection,10503 HUGHES HOUSTON TX,77089,OPEN,0,
2026-04-23,FRAZIER ELEMENTARY SCHOOL,Elementary,inspection,10503 HUGHES HOUSTON TX,77089,OPEN,0,
2026-04-23,FRAZIER ELEMENTARY SCHOOL,Elementary,grease_trap,10503 HUGHES HOUSTON TX,77089,OPEN,0,
