date,campus,level,record_type,address,zip,status,violation_count,violations
2026-04-16,MORRIS 5TH GRADE CENTER,Middle / Jr. High,grease_trap,10415 FUQUA HOUSTON TX,77089,OPEN,0,
2026-04-16,MILBY HIGH SCHOOL,High School,inspection,1601 BROADWAY HOUSTON TX,77012,OPEN,1,1 Houston Ordinance Violation: 6-202.15(A) (Violation Repeat)
2026-04-16,MILBY HIGH SCHOOL,High School,inspection,1601 BROADWAY HOUSTON TX,77012,OPEN,5,32 Houston Ordinance Violation: 6-202.15(A) (Violation Repeat) | 42 Houston Ordinance Violation: 4-402.11(A)(3) (Violation) | 50 Houston Ordinance Violation: 5-501.114 (Violation) | 51 Houston Ordinance Violation: 6-501.11 (Violation) | 52 Houston Ordinance Violation: 6-501.12(A) (Violation)
2026-04-16,MILBY HIGH SCHOOL,High School,grease_trap,1601 BROADWAY HOUSTON TX,77012,OPEN,0,
2026-04-16,MEADOR ELEMENTARY SCHOOL,Elementary,inspection,10701 SEAFORD HOUSTON TX,77089,OPEN,2,1 Houston Ordinance Violation: 5-202.13 (Violation) | 2 Houston Ordinance Violation: 6-501.11 (Violation)
2026-04-16,MEADOR ELEMENTARY SCHOOL,Elementary,inspection,10701 SEAFORD HOUSTON TX,77089,OPEN,0,
2026-04-16,MEADOR ELEMENTARY SCHOOL,Elementary,grease_trap,10701 SEAFORD HOUSTON TX,77089,OPEN,0,
2026-04-16,LONGFELLOW ELEMENTARY SCHOOL,Elementary,inspection,3617 NORRIS DR HOUSTON TX,77025,OPEN,3,16 Houston Ordinance Violation: 3-501.18(A) (Violation) | 40 Houston Ordinance Violation: 4-402.11(A)(3) (Violation) | 49 Houston Ordinance Violation: 6-501.11 (Violation)
2026-04-16,KASHMERE SENIOR HIGH,High School,grease_trap,6900 WILEYVALE HOUSTON TX,77028,OPEN,0,
2026-04-16,KASHMERE SENIOR HIGH,High School,inspection,6900 WILEYVALE HOUSTON TX,77028,OPEN,3,1 Houston Ordinance Violation: 4-601.11(C) (Violation) | 2 Houston Ordinance Violation: 5-501.113 (Violation) | 3 Houston Ordinance Violation: 6-501.11 (Violation)
